MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS (L),TRANSMISSION,FUEL TYPE,FUEL CONS: CITY (L/100 km),FUEL CONS: HWY (L/100 km),FUEL CONS:COMB (L/100 km),FUEL CONS:COMB (mpg),CO2 RATING,SMOG RATING,CO2 EMISSIONS(g/km) 
CHEVROLET,CAMARO ZL1,SUBCOMPACT,6.2,8,AS10,Z,18.8,11.3,15.4,18,2,1,361
CHEVROLET,CAMARO ZL1,SUBCOMPACT,6.2,8,M6,Z,17.1,12,14.8,19,2,1,348
CHEVROLET,CITY EXPRESS,SPECIAL PURPOSE VEHICLE,2,4,AV,X,9.8,8.8,9.3,30,5,3,218
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.1,9.2,10.8,26,4,5,253
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,M6,X,11.9,9.2,10.7,26,4,5,251
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.8,4,A6,D,10.8,8,9.6,29,4,3,257
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,3.6,6,A8,X,13.4,9.6,11.7,24,4,5,274
CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.6,9.8,11.3,25,4,5,266
CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.8,4,A6,D,12.1,8.3,10.4,27,4,3,279
CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,3.6,6,A8,X,14.1,10,12.2,23,3,5,288
CHEVROLET,COLORADO ZR2 4WD,PICKUP TRUCK - SMALL,2.8,4,A6,D,12.5,10.7,11.7,24,3,3,315
CHEVROLET,COLORADO ZR2 4WD,PICKUP TRUCK - SMALL,3.6,6,A8,X,15,13,14.1,20,3,5,331
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS8,Z,15.5,9.2,12.7,22,3,1,297
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,14.2,9,11.9,24,4,1,278
CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8,AS8,Z,17.6,10.3,14.3,20,2,1,336
CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8,M7,Z,15.6,10.6,13.4,21,3,1,312
CHEVROLET,CRUZE,COMPACT,1.4,4,AS6,X,8,5.9,7.1,40,8,6,166
CHEVROLET,CRUZE,COMPACT,1.4,4,M6,X,8.6,5.8,7.4,38,7,6,172
CHEVROLET,CRUZE PREMIER,COMPACT,1.4,4,AS6,X,8.1,6,7.2,39,8,6,169
CHEVROLET,CRUZE DIESEL,COMPACT,1.6,4,A9,D,7.7,5,6.5,43,7,3,175
