MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS (L),TRANSMISSION,FUEL TYPE,FUEL CONS: CITY (L/100 km),FUEL CONS: HWY (L/100 km),FUEL CONS:COMB (L/100 km),FUEL CONS:COMB (mpg),CO2 RATING,SMOG RATING,CO2 EMISSIONS(g/km) 
MAZDA,CX-5 4WD (Cylinder Deactivation),SUV - SMALL,2.5,4,AS6,X,9.8,7.9,9,31,6,7,208
MAZDA,CX-9,SUV - SMALL,2.5,4,AS6,X,10.6,8.4,9.6,29,5,3,225
MAZDA,CX-9 4WD,SUV - SMALL,2.5,4,AS6,X,11.5,8.9,10.4,27,5,3,242
MAZDA,MAZDA3 4-DOOR,COMPACT,2,4,AS6,X,8.4,6.4,7.5,38,7,7,176
MAZDA,MAZDA3 4-DOOR,COMPACT,2,4,M6,X,8.5,6.2,7.5,38,7,7,175
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2,4,M6,X,8.5,6.2,7.5,38,7,7,175
MAZDA,MAZDA3 4-DOOR,COMPACT,2.5,4,AS6,X,8.8,6.6,7.8,36,7,7,182
MAZDA,MAZDA3 4-DOOR (i-ELOOP),COMPACT,2.5,4,AS6,X,8.5,6.4,7.6,37,7,7,176
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.5,4,M6,X,9.3,6.9,8.2,34,6,3,194
MAZDA,MAZDA3 5-DOOR,MID-SIZE,2,4,AS6,X,8.4,6.4,7.5,38,7,7,174
MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2,4,M6,X,8.6,6.4,7.6,37,7,7,178
MAZDA,MAZDA3 5-DOOR,MID-SIZE,2.5,4,AS6,X,9,6.7,7.8,36,7,7,187
MAZDA,MAZDA3 5-DOOR (i-ELOOP),MID-SIZE,2.5,4,AS6,X,8.7,6.6,7.8,36,7,7,181
MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2.5,4,M6,X,9.6,7,8.4,34,6,3,198
MAZDA,MAZDA6,MID-SIZE,2.5,4,AS6,X,9.1,6.7,8,35,7,7,187
MAZDA,MAZDA6 TURBO,MID-SIZE,2.5,4,AS6,X,10,7.5,8.9,32,6,3,208
MAZDA,MX-5,TWO-SEATER,2,4,AS6,Z,9.1,6.8,8,35,6,3,188
MAZDA,MX-5 (SIL),TWO-SEATER,2,4,M6,Z,8.9,7.1,8.1,35,6,3,189
MERCEDES-BENZ,AMG C 43 4MATIC,COMPACT,3,6,A9,Z,11.8,8.8,10.4,27,5,5,244
MERCEDES-BENZ,AMG C 43 4MATIC CABRIOLET,SUBCOMPACT,3,6,A9,Z,12.3,9.4,11,26,4,5,256
MERCEDES-BENZ,AMG C 43 4MATIC COUPE,SUBCOMPACT,3,6,A9,Z,11.8,8.8,10.5,27,5,5,245
MERCEDES-BENZ,AMG C 63,COMPACT,4,8,A7,Z,13.4,9.6,11.7,24,4,5,274
MERCEDES-BENZ,AMG C 63 CABRIOLET,SUBCOMPACT,4,8,A7,Z,14,10.4,12.4,23,3,5,291
MERCEDES-BENZ,AMG C 63 COUPE,SUBCOMPACT,4,8,A7,Z,13.8,10.1,12.1,23,3,5,285
MERCEDES-BENZ,AMG C 63 S,COMPACT,4,8,A7,Z,13.4,9.6,11.7,24,4,5,274
MERCEDES-BENZ,AMG C 63 S CABRIOLET,SUBCOMPACT,4,8,A7,Z,14,10.4,12.4,23,3,5,291
MERCEDES-BENZ,AMG C 63 S COUPE,SUBCOMPACT,4,8,A7,Z,13.8,10.2,12.2,23,3,5,285
MERCEDES-BENZ,AMG CLA 45 4MATIC,COMPACT,2,4,AM7,Z,10.3,7.9,9.2,31,5,3,217
MERCEDES-BENZ,AMG E 43 4MATIC,MID-SIZE,3,6,A9,Z,12.4,9.4,11.1,25,4,5,258
MERCEDES-BENZ,AMG E 63 S 4MATIC,MID-SIZE,4,8,A9,Z,15.5,10.6,13.3,21,3,5,313
MERCEDES-BENZ,AMG E 63 S 4MATIC WAGON,STATION WAGON - MID-SIZE,4,8,A9,Z,15.2,11,13.3,21,3,5,312
MERCEDES-BENZ,AMG G 63,SUV - STANDARD,5.5,8,A7,Z,19.9,15.5,17.9,16,1,3,419
MERCEDES-BENZ,AMG G 65,SUV - STANDARD,6,12,A7,Z,22.2,18,20.3,14,1,3,473
MERCEDES-BENZ,AMG GLA 45 4MATIC,STATION WAGON - MID-SIZE,2,4,AM7,Z,10.7,8.3,9.6,29,5,3,225
MERCEDES-BENZ,AMG GLC 43 4MATIC,SUV - SMALL,3,6,A9,Z,13.1,10.1,11.8,24,4,5,277
MERCEDES-BENZ,AMG GLC 43 4MATIC COUPE,SUV - SMALL,3,6,A9,Z,13,9.9,11.6,24,4,5,272
MERCEDES-BENZ,AMG GLE 43 4MATIC,SUV - STANDARD,3,6,A9,Z,13.5,10.3,12.1,23,4,3,282
MERCEDES-BENZ,AMG GLE 43 4MATIC COUPE,SUV - STANDARD,3,6,A9,Z,13.5,10.6,12.2,23,3,3,285
MERCEDES-BENZ,AMG GLE 63 S 4MATIC,SUV - STANDARD,5.5,8,A7,Z,17.2,13.4,15.5,18,2,3,364
MERCEDES-BENZ,AMG GLE 63 S 4MATIC COUPE,SUV - STANDARD,5.5,8,A7,Z,17.2,12.8,15.2,19,2,3,357
MERCEDES-BENZ,AMG GLS 63 4MATIC,SUV - STANDARD,5.5,8,A7,Z,17.6,13.3,15.7,18,2,3,367
MERCEDES-BENZ,AMG GT COUPE,TWO-SEATER,4,8,AM7,Z,14.5,10.8,12.8,22,3,5,302
MERCEDES-BENZ,AMG GT ROADSTER,TWO-SEATER,4,8,AM7,Z,14.7,11,13,22,3,5,304
MERCEDES-BENZ,AMG GT C COUPE,TWO-SEATER,4,8,AM7,Z,15.5,11.7,13.8,20,3,5,322
MERCEDES-BENZ,AMG GT C ROADSTER,TWO-SEATER,4,8,AM7,Z,15.5,11.7,13.8,20,3,5,322
MERCEDES-BENZ,AMG GT R COUPE,TWO-SEATER,4,8,AM7,Z,15.6,11.9,13.9,20,3,5,324
MERCEDES-BENZ,AMG GT S COUPE,TWO-SEATER,4,8,AM7,Z,14.5,10.8,12.8,22,3,5,302
MERCEDES-BENZ,AMG S 63 4MATIC,FULL-SIZE,4,8,A9,Z,14.1,8.9,11.8,24,4,5,275
MERCEDES-BENZ,AMG S 63 4MATIC CABRIOLET,SUBCOMPACT,4,8,A9,Z,15.8,9.8,13.1,22,3,5,306
MERCEDES-BENZ,AMG S 63 4MATIC COUPE,COMPACT,4,8,A9,Z,14,8.7,11.6,24,4,5,271
MERCEDES-BENZ,AMG S 65,FULL-SIZE,6,12,A7,Z,18.6,10.9,15.1,19,2,3,356
MERCEDES-BENZ,AMG SL 63,TWO-SEATER,5.5,8,A7,Z,14.7,9.5,12.4,23,3,1,291
MERCEDES-BENZ,AMG SL 65,TWO-SEATER,6,12,A7,Z,17.6,10.8,14.5,19,2,3,339
MERCEDES-BENZ,AMG SLC 43,TWO-SEATER,3,6,A9,Z,11.6,8.2,10.1,28,5,5,236
MERCEDES-BENZ,B 250,MID-SIZE,2,4,AM7,Z,9.8,6.8,8.4,34,6,5,196
MERCEDES-BENZ,B 250 4MATIC,MID-SIZE,2,4,AM7,Z,10.3,7.8,9.1,31,5,5,215
MERCEDES-BENZ,C 300 4MATIC,COMPACT,2,4,A9,Z,10.5,7.5,9.1,31,5,5,214
MERCEDES-BENZ,C 300 4MATIC CABRIOLET,SUBCOMPACT,2,4,A9,Z,10.8,8,9.6,29,5,5,224
MERCEDES-BENZ,C 300 4MATIC COUPE,SUBCOMPACT,2,4,A9,Z,10.5,7.8,9.3,30,5,5,218
MERCEDES-BENZ,C 300 4MATIC WAGON,STATION WAGON - MID-SIZE,2,4,A9,Z,10.7,8,9.5,30,5,5,222
MERCEDES-BENZ,CLA 250,COMPACT,2,4,AM7,Z,9.6,6.6,8.2,34,6,5,193
MERCEDES-BENZ,CLA 250 4MATIC,COMPACT,2,4,AM7,Z,9.9,7.3,8.7,32,6,5,204
MERCEDES-BENZ,E 300 4MATIC,MID-SIZE,2,4,A9,Z,11,8.1,9.7,29,5,5,227
MERCEDES-BENZ,E 400 4MATIC,MID-SIZE,3,6,A9,Z,11.8,8.7,10.4,27,4,5,246
MERCEDES-BENZ,E 400 4MATIC CABRIOLET,SUBCOMPACT,3,6,A9,Z,12,9.2,10.8,26,4,5,251
MERCEDES-BENZ,E 400 4MATIC COUPE,SUBCOMPACT,3,6,A9,Z,11.9,9,10.6,27,4,5,248
MERCEDES-BENZ,E 400 4MATIC WAGON,STATION WAGON - MID-SIZE,3,6,A9,Z,12.4,9.5,11.1,25,4,5,261
MERCEDES-BENZ,G 550,SUV - STANDARD,4,8,A7,Z,18.2,16.5,17.5,16,1,3,410
MERCEDES-BENZ,GLA 250 4MATIC,SUV - SMALL,2,4,AM7,Z,10.1,7.6,9,31,5,5,209
MERCEDES-BENZ,GLC 300 4MATIC,SUV - SMALL,2,4,A9,Z,11.1,8.6,10,28,5,5,240
MERCEDES-BENZ,GLC 300 4MATIC COUPE,SUV - SMALL,2,4,A9,Z,11,8.7,10,28,5,5,235
MERCEDES-BENZ,GLE 400 4MATIC,SUV - STANDARD,3,6,A9,Z,13.5,10.3,12.1,23,4,3,282
MERCEDES-BENZ,GLE 550 4MATIC,SUV - STANDARD,4.7,8,A9,Z,15.2,11.4,13.5,21,3,3,317
MERCEDES-BENZ,GLS 450 4MATIC,SUV - STANDARD,3,6,A9,Z,14.3,11.4,13,22,3,3,305
MERCEDES-BENZ,GLS 550 4MATIC,SUV - STANDARD,4.7,8,A9,Z,16.5,12.6,14.7,19,2,3,346
MERCEDES-BENZ,MAYBACH S 650,FULL-SIZE,6,12,A9,Z,18.4,11.1,15.1,19,2,3,355
MERCEDES-BENZ,METRIS CARGO,SPECIAL PURPOSE VEHICLE,2,4,A7,Z,11.5,9.8,10.7,26,4,5,251
MERCEDES-BENZ,METRIS PASSENGER,SPECIAL PURPOSE VEHICLE,2,4,A7,Z,12.3,10.3,11.4,25,4,5,268
MERCEDES-BENZ,S 450 4MATIC SWB,MID-SIZE,3,6,A9,Z,12.8,8.5,10.9,26,4,3,255
MERCEDES-BENZ,S 560 CABRIOLET,SUBCOMPACT,4,8,A9,Z,13.9,9.2,11.8,24,4,5,276
MERCEDES-BENZ,S 560 4MATIC,FULL-SIZE,4,8,A9,Z,13.5,8.6,11.3,25,4,5,265
MERCEDES-BENZ,S 560 4MATIC SWB,MID-SIZE,4,8,A9,Z,13.1,8.8,11.2,25,4,5,261
MERCEDES-BENZ,S 560 4MATIC COUPE,COMPACT,4,8,A9,Z,13.6,8.8,11.4,25,4,5,269
MERCEDES-BENZ,SL 450,TWO-SEATER,3,6,A9,Z,11.5,8.5,10.2,28,5,3,238
MERCEDES-BENZ,SL 550,TWO-SEATER,4.7,8,A9,Z,13.5,9.6,11.8,24,4,1,275
MERCEDES-BENZ,SLC 300,TWO-SEATER,2,4,A9,Z,9.6,7.4,8.6,33,6,3,202
MINI,COOPER 3 DOOR,SUBCOMPACT,1.5,3,AS6,Z,8.7,6.8,7.9,36,7,7,184
MINI,COOPER 3 DOOR,SUBCOMPACT,1.5,3,M6,Z,8.5,6.2,7.5,38,7,7,175
MINI,COOPER 5 DOOR,SUBCOMPACT,1.5,3,AS6,Z,8.7,6.8,7.9,36,7,7,184
MINI,COOPER 5 DOOR,SUBCOMPACT,1.5,3,M6,Z,8.4,6.3,7.4,38,7,7,174
MINI,COOPER CLUBMAN ALL4,MID-SIZE,1.5,3,AS8,Z,10.2,7.6,9,31,5,3,212
MINI,COOPER CLUBMAN ALL4,MID-SIZE,1.5,3,M6,Z,10.5,7.4,9.1,31,5,3,214
MINI,COOPER CONVERTIBLE,MINICOMPACT,1.5,3,AS6,Z,8.7,6.8,7.9,36,7,7,184
MINI,COOPER CONVERTIBLE,MINICOMPACT,1.5,3,M6,Z,8.4,6.3,7.4,38,7,7,174
MINI,COOPER COUNTRYMAN ALL4,STATION WAGON - SMALL,1.5,3,AS8,Z,10.3,7.9,9.2,31,5,3,215
MINI,COOPER COUNTRYMAN ALL4,STATION WAGON - SMALL,1.5,3,M6,Z,10.5,7.4,9.1,31,5,3,214
MINI,COOPER S 3 DOOR,SUBCOMPACT,2,4,AS6,Z,9.3,7.3,8.4,34,6,7,197
MINI,COOPER S 3 DOOR,SUBCOMPACT,2,4,M6,Z,10.3,7.4,9,31,5,7,210
MINI,COOPER S 5 DOOR,SUBCOMPACT,2,4,AS6,Z,9.3,7.3,8.4,34,6,7,197
MINI,COOPER S 5 DOOR,SUBCOMPACT,2,4,M6,Z,10.3,7.4,9,31,5,7,210
MINI,COOPER S CLUBMAN ALL4,MID-SIZE,2,4,AS8,Z,10.5,7.6,9.2,31,5,7,215
MINI,COOPER S CLUBMAN ALL4,MID-SIZE,2,4,M6,Z,11.4,7.8,9.7,29,5,7,227
MINI,COOPER S CONVERTIBLE,MINICOMPACT,2,4,AS6,Z,9.3,7.1,8.3,34,6,7,195
MINI,COOPER S CONVERTIBLE,MINICOMPACT,2,4,M6,Z,10.3,7.4,9,31,5,7,210
MINI,COOPER S COUNTRYMAN ALL4,MID-SIZE,2,4,AS8,Z,10.5,7.6,9.2,31,5,7,215
MINI,COOPER S COUNTRYMAN ALL4,MID-SIZE,2,4,M6,Z,11.3,7.7,9.7,29,5,7,227
MINI,JOHN COOPER WORKS,SUBCOMPACT,2,4,AS6,Z,9.3,7.3,8.4,34,6,3,197
MINI,JOHN COOPER WORKS,SUBCOMPACT,2,4,M6,Z,10.3,7.4,9,31,5,3,210
MINI,JOHN COOPER WORKS CLUBMAN ALL4,MID-SIZE,2,4,AS8,Z,10.2,7.5,9,31,5,3,211
MINI,JOHN COOPER WORKS CLUBMAN ALL4,MID-SIZE,2,4,M6,Z,11.4,7.6,9.7,29,5,3,228
MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,2,4,AS6,Z,9.8,7.3,8.7,32,6,3,203
MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,2,4,M6,Z,10.8,7.7,9.4,30,5,3,220
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,MID-SIZE,2,4,AS8,Z,10.6,7.8,9.3,30,5,3,220
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,MID-SIZE,2,4,M6,Z,11.5,8,9.9,29,5,3,232
MITSUBISHI,ECLIPSE CROSS,SUV - SMALL,1.5,4,AV8,X,9.4,8.4,8.9,32,6,5,208
MITSUBISHI,ECLIPSE CROSS 4WD,SUV - SMALL,1.5,4,AV8,X,9.6,8.9,9.3,30,5,5,216
MITSUBISHI,MIRAGE,COMPACT,1.2,3,AV,X,6.4,5.5,6,47,9,5,141
MITSUBISHI,MIRAGE,COMPACT,1.2,3,M5,X,7.1,5.8,6.5,43,8,5,150
MITSUBISHI,MIRAGE G4,COMPACT,1.2,3,AV,X,6.9,5.7,6.4,44,8,5,149
MITSUBISHI,MIRAGE G4,COMPACT,1.2,3,M5,X,7.2,5.9,6.6,43,8,5,155
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,2.4,4,AV6,X,9.9,8.1,9.1,31,5,5,212
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,3,6,AS6,Z,12,8.8,10.6,27,4,5,248
MITSUBISHI,RVR,SUV - SMALL,2,4,AV6,X,9.7,7.8,8.8,32,6,5,204
MITSUBISHI,RVR,SUV - SMALL,2,4,M5,X,10.3,8.2,9.3,30,5,5,216
MITSUBISHI,RVR 4WD,SUV - SMALL,2,4,AV6,X,10.1,8.2,9.2,31,5,5,213
MITSUBISHI,RVR 4WD,SUV - SMALL,2.4,4,AV6,X,10.3,8.3,9.4,30,5,5,219
NISSAN,370Z,TWO-SEATER,3.7,6,AS7,Z,12.6,9.3,11.1,25,4,3,261
NISSAN,370Z,TWO-SEATER,3.7,6,M6,Z,13.3,9.3,11.5,25,4,3,269
NISSAN,370Z ROADSTER,TWO-SEATER,3.7,6,AS7,Z,13,9.7,11.5,25,4,3,270
NISSAN,370Z ROADSTER,TWO-SEATER,3.7,6,M6,Z,13.6,9.7,11.8,24,4,3,278
NISSAN,ALTIMA,MID-SIZE,2.5,4,AV,X,8.7,6.3,7.6,37,7,7,179
NISSAN,ALTIMA SR,MID-SIZE,2.5,4,AV7,X,8.9,6.4,7.8,36,7,7,185
NISSAN,ALTIMA,MID-SIZE,3.5,6,AV7,X,10.6,7.3,9.1,31,5,3,214
NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8,AS7,X,17.5,12.8,15.4,18,2,3,362
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,A5,X,13.6,10.7,12.3,23,3,3,290
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,M5,X,12.2,10.4,11.4,25,4,3,268
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,4,6,A5,X,14.7,10.4,12.8,22,3,3,300
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4,6,A5,X,15.8,11.5,13.9,20,3,3,326
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4,6,M6,X,15.1,11.5,13.5,21,3,3,317
NISSAN,GT-R,SUBCOMPACT,3.8,6,AM6,Z,14.5,10.7,12.8,22,3,3,300
NISSAN,KICKS,MID-SIZE,1.6,4,AV,X,7.7,6.6,7.2,39,8,7,169
NISSAN,MAXIMA,MID-SIZE,3.5,6,AV7,Z,11.1,7.8,9.6,29,5,3,227
NISSAN,MICRA,COMPACT,1.6,4,A4,X,9,6.8,8,35,6,3,188
NISSAN,MICRA,COMPACT,1.6,4,M5,X,8.7,6.8,7.9,36,7,3,186
NISSAN,MURANO,STATION WAGON - MID-SIZE,3.5,6,AV7,X,11,8.3,9.8,29,5,5,230
NISSAN,MURANO AWD,STATION WAGON - MID-SIZE,3.5,6,AV7,X,11.2,8.4,9.9,29,5,5,232
NISSAN,NV200 CARGO VAN,SPECIAL PURPOSE VEHICLE,2,4,AV,X,9.8,8.8,9.3,30,5,3,218
NISSAN,PATHFINDER,SUV - SMALL,3.5,6,AV,X,11.6,8.5,10.2,28,5,5,240
NISSAN,PATHFINDER 4WD,SUV - SMALL,3.5,6,AV,X,12.1,8.9,10.7,26,4,5,250
NISSAN,PATHFINDER 4WD PLATINUM,SUV - SMALL,3.5,6,AV,X,12.4,9.2,11,26,4,3,259
NISSAN,QASHQAI,STATION WAGON - SMALL,2,4,AV,X,8.8,7.3,8.1,35,6,5,191
NISSAN,QASHQAI,STATION WAGON - SMALL,2,4,M6,X,10,8.1,9.2,31,5,5,216
NISSAN,QASHQAI AWD,STATION WAGON - SMALL,2,4,AV,X,9,7.5,8.4,34,6,5,196
NISSAN,ROGUE,SUV - SMALL,2.5,4,AV,X,9.2,7,8.2,34,6,5,192
NISSAN,ROGUE AWD,SUV - SMALL,2.5,4,AV,X,9.7,7.4,8.7,32,6,5,205
NISSAN,SENTRA,MID-SIZE,1.8,4,AV,X,8.1,6.3,7.3,39,7,7,172
NISSAN,SENTRA,MID-SIZE,1.8,4,M6,X,8.9,6.8,8,35,7,1,187
NISSAN,SENTRA (Turbo),MID-SIZE,1.6,4,AV7,Z,8.9,7.3,8.2,34,6,3,193
NISSAN,SENTRA (Turbo),MID-SIZE,1.6,4,M6,Z,9.1,7.3,8.3,34,6,3,195
NISSAN,SENTRA NISMO,MID-SIZE,1.6,4,AV7,Z,9.4,7.8,8.7,32,6,3,205
NISSAN,SENTRA NISMO,MID-SIZE,1.6,4,M6,Z,9.5,7.6,8.7,32,6,3,204
NISSAN,TITAN,PICKUP TRUCK - STANDARD,5.6,8,AS7,X,15,11.2,13.3,21,3,3,312
NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8,AS7,X,15.2,11.1,13.4,21,3,3,315
NISSAN,TITAN 4WD PRO-4X,PICKUP TRUCK - STANDARD,5.6,8,AS7,X,15.9,11.9,14.1,20,3,3,331
NISSAN,VERSA,MID-SIZE,1.6,4,AV,X,7.6,6.2,7,40,8,5,164
NISSAN,VERSA,MID-SIZE,1.6,4,M5,X,8.6,6.6,7.7,37,7,5,180
PORSCHE,911 CARRERA,MINICOMPACT,3,6,AM7,Z,10.6,8,9.4,30,5,1,221
PORSCHE,911 CARRERA,MINICOMPACT,3,6,M7,Z,11.8,8.1,10.1,28,5,1,237
PORSCHE,911 CARRERA CABRIOLET,MINICOMPACT,3,6,AM7,Z,10.8,8.3,9.7,29,5,1,227
PORSCHE,911 CARRERA CABRIOLET,MINICOMPACT,3,6,M7,Z,12,8.2,10.3,27,5,1,241
PORSCHE,911 CARRERA GTS,MINICOMPACT,3,6,AM7,Z,11.5,9.1,10.4,27,5,1,243
PORSCHE,911 CARRERA GTS,MINICOMPACT,3,6,M7,Z,13,8.9,11.1,25,4,1,260
PORSCHE,911 CARRERA GTS CABRIOLET,MINICOMPACT,3,6,AM7,Z,11.8,9.2,10.6,27,4,1,249
PORSCHE,911 CARRERA GTS CABRIOLET,MINICOMPACT,3,6,M7,Z,12.7,9,11,26,4,1,258
PORSCHE,911 CARRERA S,MINICOMPACT,3,6,AM7,Z,10.8,8.3,9.7,29,5,1,226
PORSCHE,911 CARRERA S,MINICOMPACT,3,6,M7,Z,12.1,8.3,10.4,27,5,1,242
PORSCHE,911 CARRERA S CABRIOLET,MINICOMPACT,3,6,AM7,Z,10.8,8.4,9.7,29,5,1,228
PORSCHE,911 CARRERA S CABRIOLET,MINICOMPACT,3,6,M7,Z,12.1,8.3,10.4,27,5,1,243
PORSCHE,911 CARRERA 4,MINICOMPACT,3,6,AM7,Z,10.7,8.3,9.6,29,5,1,225
PORSCHE,911 CARRERA 4,MINICOMPACT,3,6,M7,Z,12.1,8.3,10.4,27,5,1,242
PORSCHE,911 CARRERA 4 CABRIOLET,MINICOMPACT,3,6,AM7,Z,11,8.4,9.8,29,5,1,230
PORSCHE,911 CARRERA 4 CABRIOLET,MINICOMPACT,3,6,M7,Z,12.2,8.5,10.5,27,5,1,246
PORSCHE,911 CARRERA 4 GTS,MINICOMPACT,3,6,AM7,Z,11.8,9.2,10.6,27,4,1,248
PORSCHE,911 CARRERA 4 GTS,MINICOMPACT,3,6,M7,Z,12.8,8.9,11,26,4,1,257
PORSCHE,911 CARRERA 4 GTS CABRIOLET,MINICOMPACT,3,6,AM7,Z,11.9,9.3,10.7,26,4,1,250
PORSCHE,911 CARRERA 4 GTS CABRIOLET,MINICOMPACT,3,6,M7,Z,12.9,9.1,11.1,25,4,1,260
PORSCHE,911 CARRERA 4S,MINICOMPACT,3,6,AM7,Z,11,8.5,9.9,29,5,1,232
PORSCHE,911 CARRERA 4S,MINICOMPACT,3,6,M7,Z,12.1,8.4,10.4,27,5,1,243
PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3,6,AM7,Z,10.9,8.5,9.9,29,5,1,231
PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3,6,M7,Z,12.2,8.5,10.5,27,4,1,246
PORSCHE,911 GT3,TWO-SEATER,4,6,AM7,Z,15.8,11.6,13.9,20,3,1,324
PORSCHE,911 GT3,TWO-SEATER,4,6,M6,Z,18,11.5,15.1,19,2,1,352
PORSCHE,911 TARGA 4,MINICOMPACT,3,6,AM7,Z,10.9,8.4,9.8,29,5,1,228
PORSCHE,911 TARGA 4,MINICOMPACT,3,6,M7,Z,12.2,8.5,10.5,27,5,1,246
PORSCHE,911 TARGA 4 GTS,MINICOMPACT,3,6,AM7,Z,12.1,9.2,10.8,26,4,1,251
PORSCHE,911 TARGA 4 GTS,MINICOMPACT,3,6,M7,Z,13.2,9.2,11.4,25,4,1,266
PORSCHE,911 TARGA 4S,MINICOMPACT,3,6,AM7,Z,11.1,8.6,10,28,5,1,233
PORSCHE,911 TARGA 4S,MINICOMPACT,3,6,M7,Z,12.2,8.5,10.5,27,4,1,246
PORSCHE,911 TURBO,MINICOMPACT,3.8,6,AM7,Z,12.6,9.9,11.4,25,4,1,266
PORSCHE,911 TURBO CABRIOLET,MINICOMPACT,3.8,6,AM7,Z,12.6,9.9,11.4,25,4,1,267
PORSCHE,911 TURBO S,MINICOMPACT,3.8,6,AM7,Z,12.6,9.9,11.4,25,4,1,266
PORSCHE,911 TURBO S CABRIOLET,MINICOMPACT,3.8,6,AM7,Z,12.6,9.9,11.4,25,4,1,267
PORSCHE,911 TURBO S EXCLUSIVE,MINICOMPACT,3.8,6,AM7,Z,13.8,10.3,12.3,23,3,1,285
PORSCHE,BOXSTER,TWO-SEATER,2,4,AM7,Z,10.5,8,9.4,30,5,1,219
PORSCHE,BOXSTER,TWO-SEATER,2,4,M6,Z,11,8.3,9.8,29,5,1,229
PORSCHE,BOXSTER GTS,TWO-SEATER,2.5,4,AM7,Z,11.8,9.2,10.6,27,4,1,249
PORSCHE,BOXSTER GTS,TWO-SEATER,2.5,4,M6,Z,12.3,9.4,11,26,4,1,257
PORSCHE,BOXSTER S,TWO-SEATER,2.5,4,AM7,Z,11,8.4,9.9,29,5,1,230
PORSCHE,BOXSTER S,TWO-SEATER,2.5,4,M6,Z,12.1,9,10.7,26,4,1,249
PORSCHE,CAYENNE,SUV - STANDARD,3.6,6,A8,Z,12.9,9.7,11.5,25,4,1,268
PORSCHE,CAYENNE GTS,SUV - STANDARD,3.6,6,A8,Z,14.5,10.4,12.6,22,3,1,296
PORSCHE,CAYENNE PLATINUM,SUV - STANDARD,3.6,6,A8,Z,13.6,10.2,12.1,23,4,1,281
PORSCHE,CAYENNE S,SUV - STANDARD,3.6,6,A8,Z,13.9,9.6,12,24,4,1,281
PORSCHE,CAYENNE TURBO,SUV - STANDARD,4.8,8,A8,Z,16.7,11.2,14.3,20,3,1,334
PORSCHE,CAYENNE TURBO S,SUV - STANDARD,4.8,8,A8,Z,16.7,11.2,14.3,20,3,1,334
PORSCHE,CAYMAN,TWO-SEATER,2,4,AM7,Z,10.5,8,9.4,30,5,1,219
PORSCHE,CAYMAN,TWO-SEATER,2,4,M6,Z,11,8.3,9.8,29,5,1,229
PORSCHE,CAYMAN GTS,TWO-SEATER,2.5,4,AM7,Z,11.8,9.2,10.6,27,4,1,249
PORSCHE,CAYMAN GTS,TWO-SEATER,2.5,4,M6,Z,12.3,9.4,11,26,4,1,257
PORSCHE,CAYMAN S,TWO-SEATER,2.5,4,AM7,Z,11,8.4,9.9,29,5,1,230
PORSCHE,CAYMAN S,TWO-SEATER,2.5,4,M6,Z,12.1,9,10.7,26,4,1,249
PORSCHE,MACAN,SUV - SMALL,2,4,A7,Z,11.6,9.3,10.6,27,4,1,248
PORSCHE,MACAN GTS,SUV - SMALL,3,6,A7,Z,13.8,10.3,12.3,23,3,1,287
PORSCHE,MACAN S,SUV - SMALL,3,6,A7,Z,13.7,10.3,12.2,23,3,1,285
PORSCHE,MACAN TURBO,SUV - SMALL,3.6,6,A7,Z,14.2,10.1,12.3,23,3,1,287
PORSCHE,MACAN TURBO KIT,SUV - SMALL,3.6,6,A7,Z,14.1,10.1,12.3,23,3,1,286
PORSCHE,PANAMERA,FULL-SIZE,3,6,AM8,Z,11,8.3,9.8,29,5,1,229
PORSCHE,PANAMERA 4,FULL-SIZE,3,6,AM8,Z,11.3,8.6,10.1,28,5,1,235
PORSCHE,PANAMERA 4 EXECUTIVE,FULL-SIZE,3,6,AM8,Z,11.3,8.6,10.1,28,5,1,235
PORSCHE,PANAMERA 4 ST,FULL-SIZE,3,6,AM8,Z,11.5,9,10.4,27,5,1,242
PORSCHE,PANAMERA 4S,FULL-SIZE,2.9,6,AM8,Z,11.3,8.5,10.1,28,5,1,235
PORSCHE,PANAMERA 4S EXECUTIVE,FULL-SIZE,2.9,6,AM8,Z,11.3,8.5,10.1,28,5,1,235
